               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.019397,           0.0078181,           0.0025959,             0.86303,             0.90387,             0.89686,             0.70662,            0.019259,           0.0051771,           0.0046576,            0.003961,            0.003961,            0.003961
                  63,            0.019101,           0.0080617,           0.0028764,             0.91551,             0.87348,             0.93161,             0.73412,            0.019551,           0.0053449,           0.0045731,            0.003862,            0.003862,            0.003862
                  64,             0.01866,           0.0079115,           0.0023384,             0.93976,             0.84549,             0.92064,             0.73868,            0.018879,           0.0054137,             0.00523,            0.003763,            0.003763,            0.003763
                  65,            0.018416,           0.0080169,           0.0021039,             0.94408,             0.83927,             0.92336,              0.7243,            0.018714,           0.0051999,           0.0047196,            0.003664,            0.003664,            0.003664
                  66,            0.018733,           0.0082901,           0.0020224,             0.94796,             0.84537,              0.9247,             0.73892,            0.019161,           0.0054203,           0.0052045,            0.003565,            0.003565,            0.003565
                  67,            0.018514,            0.007872,           0.0020311,             0.93401,             0.82892,             0.92988,             0.75355,            0.018952,           0.0053286,           0.0045748,            0.003466,            0.003466,            0.003466
                  68,            0.018457,           0.0078889,           0.0020699,             0.94583,             0.86145,              0.9297,             0.73696,             0.01874,             0.00511,           0.0048424,            0.003367,            0.003367,            0.003367
                  69,            0.018638,           0.0079348,           0.0019966,             0.92864,             0.86272,             0.92928,             0.75391,            0.017894,           0.0050784,           0.0048093,            0.003268,            0.003268,            0.003268
                  70,            0.018226,           0.0078057,           0.0019668,             0.92902,             0.86899,             0.92956,             0.76817,            0.018191,           0.0051627,           0.0046358,            0.003169,            0.003169,            0.003169
                  71,            0.018207,           0.0077049,           0.0020452,             0.88858,             0.88514,             0.93044,             0.77651,            0.017691,           0.0052256,           0.0046061,             0.00307,             0.00307,             0.00307
                  72,             0.01804,           0.0078225,           0.0021179,             0.90832,             0.86614,             0.92765,             0.75212,            0.018215,           0.0050873,           0.0041356,            0.002971,            0.002971,            0.002971
                  73,            0.017739,           0.0078975,           0.0018873,             0.90552,             0.86751,             0.93359,             0.77592,            0.018093,           0.0051044,           0.0041996,            0.002872,            0.002872,            0.002872
                  74,            0.017618,           0.0076734,           0.0016139,               0.896,             0.89372,             0.92521,             0.76663,            0.018444,           0.0053044,           0.0043341,            0.002773,            0.002773,            0.002773
                  75,            0.016979,           0.0073658,           0.0016497,             0.90332,             0.89143,             0.93411,             0.76807,            0.018018,           0.0050909,            0.004445,            0.002674,            0.002674,            0.002674
                  76,              0.0169,           0.0075704,           0.0020863,             0.93367,             0.87024,             0.93264,             0.77634,            0.017913,           0.0052082,             0.00465,            0.002575,            0.002575,            0.002575
                  77,            0.017249,           0.0074811,            0.001701,             0.92914,             0.86573,             0.92175,             0.76783,            0.018323,           0.0053169,           0.0061266,            0.002476,            0.002476,            0.002476
                  78,            0.016413,           0.0071921,             0.00145,             0.94072,             0.85164,             0.92592,             0.76622,            0.017584,           0.0054311,           0.0059844,            0.002377,            0.002377,            0.002377
                  79,            0.016853,           0.0072591,           0.0016814,             0.89024,             0.90842,             0.93243,             0.78513,            0.017334,           0.0053445,           0.0050538,            0.002278,            0.002278,            0.002278
                  80,            0.016709,           0.0072636,           0.0017839,             0.90855,              0.8771,             0.93434,             0.78913,            0.017716,           0.0052558,           0.0042002,            0.002179,            0.002179,            0.002179
                  81,            0.015978,           0.0073248,           0.0014861,             0.94825,             0.84123,             0.93583,             0.78234,            0.017497,           0.0052145,            0.004656,             0.00208,             0.00208,             0.00208
                  82,            0.015768,           0.0070882,           0.0016149,             0.88644,             0.87676,             0.92881,             0.76343,            0.017704,           0.0050839,           0.0047204,            0.001981,            0.001981,            0.001981
                  83,            0.015552,           0.0072101,           0.0016627,             0.95702,             0.85431,             0.93234,             0.78249,            0.017606,           0.0049142,           0.0053091,            0.001882,            0.001882,            0.001882
                  84,            0.015684,           0.0068657,           0.0018011,             0.95615,             0.83898,             0.93557,             0.78455,            0.017289,           0.0050525,           0.0049799,            0.001783,            0.001783,            0.001783
                  85,            0.015559,           0.0072285,           0.0011325,             0.91631,              0.8501,             0.93211,             0.77799,            0.017466,            0.005201,           0.0051323,            0.001684,            0.001684,            0.001684
                  86,            0.015364,           0.0071341,           0.0014257,             0.94161,             0.82639,             0.92621,             0.77965,              0.0175,            0.005273,           0.0050908,            0.001585,            0.001585,            0.001585
                  87,             0.01534,            0.007099,           0.0013955,             0.90508,             0.88303,             0.92914,             0.78918,            0.016993,            0.005121,           0.0052521,            0.001486,            0.001486,            0.001486
                  88,            0.014921,             0.00717,           0.0013417,             0.93821,             0.86035,             0.92976,             0.78573,            0.017125,           0.0050935,           0.0051862,            0.001387,            0.001387,            0.001387
                  89,            0.014461,           0.0068835,           0.0014232,             0.94786,             0.84302,             0.91799,             0.75637,            0.017185,           0.0053104,           0.0049952,            0.001288,            0.001288,            0.001288
                  90,            0.014527,           0.0068646,           0.0014083,             0.92108,             0.86436,             0.92889,             0.78494,            0.017094,           0.0051293,           0.0049419,            0.001189,            0.001189,            0.001189
                  91,            0.014768,           0.0067602,           0.0016081,             0.94105,             0.85418,             0.92846,             0.78499,            0.017135,           0.0051782,           0.0047903,             0.00109,             0.00109,             0.00109
                  92,            0.014632,           0.0068216,            0.001614,             0.88256,             0.90011,             0.93305,             0.79552,            0.016819,           0.0051331,           0.0045739,            0.000991,            0.000991,            0.000991
                  93,            0.014276,           0.0068715,           0.0013589,             0.89865,             0.87728,             0.92806,             0.79728,            0.016755,           0.0051354,           0.0042829,            0.000892,            0.000892,            0.000892
                  94,            0.014391,           0.0067957,           0.0012006,             0.94385,              0.8538,             0.93166,             0.80499,            0.016647,           0.0050694,           0.0045282,            0.000793,            0.000793,            0.000793
                  95,            0.014339,           0.0067892,           0.0013158,             0.91811,             0.87669,             0.93224,             0.78909,            0.016895,           0.0052079,           0.0046993,            0.000694,            0.000694,            0.000694
                  96,            0.014414,           0.0065699,           0.0011999,             0.91573,             0.88313,             0.93047,             0.78314,            0.017043,           0.0051612,           0.0047843,            0.000595,            0.000595,            0.000595
                  97,            0.013797,           0.0065934,           0.0011424,             0.91356,             0.86782,             0.92739,             0.78513,            0.017091,           0.0051514,           0.0047403,            0.000496,            0.000496,            0.000496
                  98,              0.0139,           0.0067437,           0.0010507,             0.91752,             0.87228,             0.92867,             0.78176,            0.017049,           0.0051376,           0.0046687,            0.000397,            0.000397,            0.000397
                  99,             0.01395,           0.0065732,           0.0011959,             0.91807,             0.88022,             0.93006,             0.79693,            0.016659,           0.0051013,           0.0046669,            0.000298,            0.000298,            0.000298
